celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_score,week1_score_std,week2_avg_score,week2_score_std,week3_avg_score,week3_score_std,week4_avg_score,week4_score_std,week5_avg_score,week5_score_std,week6_avg_score,week6_score_std,week7_avg_score,week7_score_std,week8_avg_score,week8_score_std,week9_avg_score,week9_score_std,week10_avg_score,week10_score_std,week11_avg_score,week11_score_std,weeks_survived,season_avg_score,season_score_std,season_max_score,season_min_score,early_avg_score,late_avg_score,score_improvement,is_Actor_Actress,is_Athlete,is_TV_Personality,is_Singer_Rapper,is_Model,is_Comedian,is_Social_Media_Personality,is_Radio_Personality,age_group,is_international,week1_participated,week2_participated,week3_participated,week4_participated,week5_participated,week6_participated,week7_participated,week8_participated,week9_participated,week10_participated,week11_participated,total_weeks_participated,consecutive_weeks
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,0.5773502691896258,8.666666666666666,0.5773502691896257,8.0,1.0,7.0,1.0,9.0,0.0,9.0,0.0,,,,,,,,,,,11.0,8.055555555555555,1.020167016101158,9.0,6.666666666666667,7.777777777777778,,,1,0,0,0,0,0,0,0,35-50,0,1,1,1,1,1,1,0,0,0,0,0,6,6
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,0.5773502691896258,5.666666666666667,0.5773502691896258,7.0,1.0,8.666666666666666,0.5773502691896257,7.833333333333333,0.5773502691896258,9.166666666666666,0.5773502691896257,,,,,,,,,,,11.0,7.111111111111111,1.842904310130153,9.166666666666666,4.333333333333333,5.666666666666667,,,1,0,0,0,0,0,0,0,25-35,0,1,1,1,1,1,1,0,0,0,0,0,6,6
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,4.666666666666667,0.5773502691896258,4.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,3.0,5.0,0.881917103688197,6.0,4.333333333333333,5.0,,,0,1,0,0,0,0,0,0,35-50,0,1,1,1,0,0,0,0,0,0,0,0,3,3
Rachel Hunter,Jonathan Roberts,Model,International,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,0.5773502691896258,8.0,0.0,8.666666666666666,0.5773502691896257,8.333333333333334,1.1547005383792517,,,,,,,,,,,,,,,4.0,7.916666666666667,0.8766518798921943,8.666666666666666,6.666666666666667,7.777777777777779,,,0,0,0,0,1,0,0,0,25-35,1,1,1,1,1,0,0,0,0,0,0,0,4,4
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,0.5773502691896258,7.0,1.0,7.333333333333333,0.5773502691896258,6.666666666666667,0.5773502691896258,7.5,0.8660254037844386,,,,,,,,,,,,,11.0,7.033333333333334,0.3800584750330458,7.5,6.666666666666667,7.0,,,0,0,0,1,0,0,0,0,25-35,0,1,1,1,1,1,0,0,0,0,0,0,5,5
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,,,2.0,6.166666666666666,0.23570226039551562,6.333333333333333,6.0,6.166666666666666,,,0,0,1,0,0,0,0,0,25-35,0,1,1,0,0,0,0,0,0,0,0,0,2,2
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666666666667,0.5773502691896258,5.666666666666667,0.5773502691896258,,,,,,,,,,,,,,,,,,,2.0,6.666666666666667,1.4142135623730951,7.666666666666667,5.666666666666667,6.666666666666667,,,1,0,0,0,0,0,0,0,35-50,0,1,1,0,0,0,0,0,0,0,0,0,2,2
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,0.5773502691896258,7.333333333333333,0.5773502691896258,8.666666666666666,0.5773502691896257,8.333333333333334,0.5773502691896257,7.333333333333333,0.5773502691896258,,,,,,,,,,,,,5.0,7.666666666666667,0.8164965809277259,8.666666666666666,6.666666666666667,7.5555555555555545,,,1,0,0,0,0,0,0,0,35-50,0,1,1,1,1,1,0,0,0,0,0,0,5,5
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.333333333333333,0.5773502691896258,7.333333333333333,0.5773502691896258,7.0,0.0,8.0,0.0,7.666666666666667,0.5773502691896258,,,,,,,,,,,6.0,7.222222222222221,0.6885303726590963,8.0,6.0,6.888888888888888,,,1,0,0,0,0,0,0,0,>50,0,1,1,1,1,1,1,0,0,0,0,0,6,6
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,,,,,6.333333333333333,1.1547005383792517,6.666666666666667,0.5773502691896258,8.333333333333334,0.5773502691896257,8.666666666666666,0.5773502691896257,8.333333333333334,1.1547005383792517,9.0,0.0,8.833333333333334,0.2886751345948129,,,,,,,,,7.0,8.023809523809524,1.0733668534645564,9.0,6.333333333333333,7.111111111111112,,,1,0,0,0,0,0,0,0,35-50,0,1,1,1,1,1,1,1,0,0,0,0,7,7
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,7.333333333333333,1.1547005383792517,9.666666666666666,0.5773502691896257,9.0,0.0,8.666666666666666,0.5773502691896257,10.0,0.0,10.0,0.0,9.166666666666666,0.2886751345948129,9.5555,0.192430844720903,,,,,,,11.0,9.173604166666667,0.8806316002602815,10.0,7.333333333333333,8.666666666666666,,,0,1,0,0,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,0,0,0,8,8
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,7.0,0.0,7.666666666666667,0.5773502691896258,6.333333333333333,0.5773502691896258,8.0,0.0,7.666666666666667,0.5773502691896258,7.666666666666667,0.5773502691896258,6.833333333333333,0.28867513459481287,8.888866666666667,0.1924885797478208,,,,,,,11.0,7.506941666666667,0.7853528790820977,8.888866666666667,6.333333333333333,7.0,,,0,1,0,0,0,0,0,0,35-50,0,1,1,1,1,1,1,1,1,0,0,0,8,8
Giselle Fernandez,Jonathan Roberts,News Anchor,International,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666666666667,0.5773502691896258,8.0,0.0,7.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,3.0,7.666666666666667,0.3333333333333335,8.0,7.333333333333333,7.666666666666667,,,0,0,0,0,0,0,0,0,35-50,1,1,1,1,0,0,0,0,0,0,0,0,3,3
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,5.333333333333333,0.5773502691896258,4.666666666666667,1.1547005383792517,2.6666666666666665,1.1547005383792515,,,,,,,,,,,,,,,4.0,4.166666666666666,1.1385500851066221,5.333333333333333,2.6666666666666665,4.666666666666667,,,0,0,0,1,0,0,0,0,25-35,0,1,1,1,1,0,0,0,0,0,0,0,4,4
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,8.0,0.0,9.0,0.0,9.0,0.0,9.333333333333334,0.5773502691896257,9.0,0.0,10.0,0.0,9.166666666666666,0.2886751345948129,9.6666,0.0,,,,,,,11.0,9.145825,0.5871389472796866,10.0,8.0,8.666666666666666,,,0,0,0,1,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,0,0,0,8,8
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,,,,,1.0,4.333333333333333,,4.333333333333333,4.333333333333333,4.333333333333333,,,0,0,0,0,0,0,0,0,35-50,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666666666667,0.5773502691896258,7.0,0.0,7.333333333333333,0.5773502691896258,,,,,,,,,,,,,,,,,3.0,6.666666666666667,0.8819171036881965,7.333333333333333,5.666666666666667,6.666666666666667,,,1,0,0,0,0,0,0,0,>50,0,1,1,1,0,0,0,0,0,0,0,0,3,3
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333333333,1.1547005383792517,8.0,0.0,9.0,0.0,8.0,0.0,,,,,,,,,,,,,,,4.0,8.083333333333332,0.6871842709362769,9.0,7.333333333333333,8.11111111111111,,,1,0,0,0,0,0,0,0,35-50,0,1,1,1,1,0,0,0,0,0,0,0,4,4
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,6.333333333333333,0.5773502691896258,8.666666666666666,0.5773502691896257,9.0,0.0,8.0,0.0,9.0,0.0,7.666666666666667,1.1547005383792517,9.0,0.0,8.833333333333334,0.2886751345948129,,,,,,,8.0,8.3125,0.9446486707295529,9.0,6.333333333333333,8.0,,,1,0,0,0,0,0,0,0,<25,0,1,1,1,1,1,1,1,1,0,0,0,8,8
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,,,,,,,,,7.0,0.0,9.666666666666666,0.5773502691896257,7.333333333333333,1.1547005383792517,9.0,0.0,8.333333333333334,0.5773502691896257,8.0,0.0,9.5,0.5,9.0,0.5,9.833333333333334,0.2886751345948129,,,,,11.0,8.62962962962963,1.023263358688548,9.833333333333334,7.0,7.999999999999999,9.833333333333334,1.8333333333333348,1,0,0,0,0,0,0,0,25-35,0,1,1,1,1,1,1,1,1,1,0,0,9,9
