season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_age_during_season,is_international,weeks_survived,season_avg_score,season_score_std,season_max_score,season_min_score,score_improvement,total_weeks_participated,consecutive_weeks,week1_avg_score,week2_avg_score,week3_avg_score,week4_avg_score,week5_avg_score,week6_avg_score,week7_avg_score,week8_avg_score,week9_avg_score,week10_avg_score,week11_avg_score,is_Actor_Actress,is_Athlete,is_TV_Personality,is_Singer_Rapper,is_Model,is_Comedian,is_Social_Media_Personality,is_Radio_Personality
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,0,11.0,8.055555555555555,1.020167016101158,9.0,6.666666666666667,,6,6,6.666666666666667,8.666666666666666,8.0,7.0,9.0,9.0,,,,,,1,0,0,0,0,0,0,0
1,Kelly Monaco,Alec Mazo,Actor/Actress,29,0,11.0,7.111111111111111,1.842904310130153,9.166666666666666,4.333333333333333,,6,6,4.333333333333333,5.666666666666667,7.0,8.666666666666666,7.833333333333333,9.166666666666666,,,,,,1,0,0,0,0,0,0,0
1,Evander Holyfield,Edyta Sliwinska,Athlete,42,0,3.0,5.0,0.881917103688197,6.0,4.333333333333333,,3,3,6.0,4.666666666666667,4.333333333333333,,,,,,,,,0,1,0,0,0,0,0,0
1,Rachel Hunter,Jonathan Roberts,Model,35,1,4.0,7.916666666666667,0.8766518798921943,8.666666666666666,6.666666666666667,,4,4,6.666666666666667,8.0,8.666666666666666,8.333333333333334,,,,,,,,0,0,0,0,1,0,0,0
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,32,0,11.0,7.033333333333334,0.3800584750330458,7.5,6.666666666666667,,5,5,6.666666666666667,7.0,7.333333333333333,6.666666666666667,7.5,,,,,,,0,0,0,1,0,0,0,0
1,Trista Sutter,Louis van Amstel,TV Personality,32,0,2.0,6.166666666666666,0.23570226039551562,6.333333333333333,6.0,,2,2,6.0,6.333333333333333,,,,,,,,,,0,0,1,0,0,0,0,0
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,0,2.0,6.666666666666667,1.4142135623730951,7.666666666666667,5.666666666666667,,2,2,7.666666666666667,5.666666666666667,,,,,,,,,,1,0,0,0,0,0,0,0
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,0,5.0,7.666666666666667,0.8164965809277259,8.666666666666666,6.666666666666667,,5,5,6.666666666666667,7.333333333333333,8.666666666666666,8.333333333333334,7.333333333333333,,,,,,,1,0,0,0,0,0,0,0
2,George Hamilton,Edyta Sliwinska,Actor/Actress,66,0,6.0,7.222222222222221,0.6885303726590963,8.0,6.0,,6,6,6.0,7.333333333333333,7.333333333333333,7.0,8.0,7.666666666666667,,,,,,1,0,0,0,0,0,0,0
2,Lisa Rinna,Louis van Amstel,Actor/Actress,42,0,7.0,8.023809523809524,1.0733668534645564,9.0,6.333333333333333,,7,7,6.333333333333333,6.666666666666667,8.333333333333334,8.666666666666666,8.333333333333334,9.0,8.833333333333334,,,,,1,0,0,0,0,0,0,0
2,Stacy Keibler,Tony Dovolani,Athlete,26,0,11.0,9.173604166666667,0.8806316002602815,10.0,7.333333333333333,,8,8,7.333333333333333,9.666666666666666,9.0,8.666666666666666,10.0,10.0,9.166666666666666,9.5555,,,,0,1,0,0,0,0,0,0
2,Jerry Rice,Anna Trebunskaya,Athlete,43,0,11.0,7.506941666666667,0.7853528790820977,8.888866666666667,6.333333333333333,,8,8,7.0,7.666666666666667,6.333333333333333,8.0,7.666666666666667,7.666666666666667,6.833333333333333,8.888866666666667,,,,0,1,0,0,0,0,0,0
2,Giselle Fernandez,Jonathan Roberts,News Anchor,44,1,3.0,7.666666666666667,0.3333333333333335,8.0,7.333333333333333,,3,3,7.666666666666667,8.0,7.333333333333333,,,,,,,,,0,0,0,0,0,0,0,0
2,Master P,Ashly DelGrosso,Singer/Rapper,35,0,4.0,4.166666666666666,1.1385500851066221,5.333333333333333,2.6666666666666665,,4,4,4.0,5.333333333333333,4.666666666666667,2.6666666666666665,,,,,,,,0,0,0,1,0,0,0,0
