celebrity_name,season,ballroom_partner,celebrity_industry,celebrity_age,is_international,weeks_survived,season_avg_score,season_score_std,season_max_score,season_min_score,final_result,placement,fan_vote_estimate,fan_vote_std,fan_vote_ci_low,fan_vote_ci_high,fan_certainty,is_finalist,avg_fan_vote,fan_vote_records,is_Actor_Actress,is_Athlete,is_TV_Personality,is_Singer_Rapper,is_Model,is_Comedian,is_Social_Media_Personality,is_Radio_Personality
Kelly Monaco,1,Alec Mazo,Actor/Actress,29,0,11.0,7.111111111111111,1.842904310130153,9.166666666666666,4.333333333333333,1st Place,1,0.10745958910313907,0.07759096610365207,0.008104256838095094,0.2549652125221686,0.9279959014650939,True,0.4285016632734232,2,1,0,0,0,0,0,0,0
John O'Hurley,1,Charlotte Jorgensen,Actor/Actress,50,0,11.0,8.055555555555555,1.020167016101158,9.0,6.666666666666667,2nd Place,2,0.2504562625562923,0.1438957838647027,0.027162219114538734,0.4763747765935542,0.8742055125174565,True,0.2504562625562923,1,1,0,0,0,0,0,0,0
Joey McIntyre,1,Ashly DelGrosso,Singer/Rapper,32,0,11.0,7.033333333333334,0.3800584750330458,7.5,6.666666666666667,3rd Place,3,,,,,,False,,0,0,0,0,1,0,0,0,0
Rachel Hunter,1,Jonathan Roberts,Model,35,1,4.0,7.916666666666667,0.8766518798921943,8.666666666666666,6.666666666666667,Eliminated Week 4,4,0.12599266631567574,0.09859273661589593,0.009500568761180274,0.3190105571879253,0.9102554264835203,False,0.12599266631567574,1,0,0,0,0,1,0,0,0
Evander Holyfield,1,Edyta Sliwinska,Athlete,42,0,3.0,5.0,0.881917103688197,6.0,4.333333333333333,Eliminated Week 3,5,0.040090775751408556,0.03263593506096499,0.0029381522216634674,0.10442398778803898,0.9683955071164182,False,0.040090775751408556,1,0,1,0,0,0,0,0,0
Trista Sutter,1,Louis van Amstel,TV Personality,32,0,2.0,6.166666666666666,0.2357022603955156,6.333333333333333,6.0,Eliminated Week 2,6,0.040789775874313136,0.035933431481486075,0.002132940174853238,0.1127731259456828,0.9653129917526672,False,0.040789775874313136,1,0,0,1,0,0,0,0,0
Drew Lachey,2,Cheryl Burke,Singer/Rapper,29,0,11.0,9.145825,0.5871389472796866,10.0,8.0,1st Place,1,0.6231407236480103,0.14620378446273877,0.4077696590873335,0.8828338463003317,0.8724452087450845,True,0.31660502553323516,2,0,0,0,1,0,0,0,0
Jerry Rice,2,Anna Trebunskaya,Athlete,43,0,11.0,7.506941666666667,0.7853528790820977,8.888866666666667,6.333333333333333,2nd Place,2,0.2693256851469882,0.10714843957126145,0.0798059901693118,0.4327112915967828,0.9032212522353785,True,0.2693256851469882,1,0,1,0,0,0,0,0,0
Stacy Keibler,2,Tony Dovolani,Athlete,26,0,11.0,9.173604166666667,0.8806316002602815,10.0,7.333333333333333,3rd Place,3,0.10753359120499988,0.07889220710916357,0.008272806064873498,0.25626441179074183,0.9268766549713514,True,0.10753359120499988,1,0,1,0,0,0,0,0,0
Lisa Rinna,2,Louis van Amstel,Actor/Actress,42,0,7.0,8.023809523809524,1.0733668534645564,9.0,6.333333333333333,Eliminated Week 7,4,0.08229389623717127,0.06458332295086652,0.005239328508661017,0.2104752821445011,0.9393346471257401,False,0.08229389623717127,1,1,0,0,0,0,0,0,0
George Hamilton,2,Edyta Sliwinska,Actor/Actress,66,0,6.0,7.222222222222221,0.6885303726590963,8.0,6.0,Eliminated Week 6,5,0.04981587893698486,0.040095846953127665,0.003441914825009914,0.12897647897052902,0.961449853808584,False,0.04981587893698486,1,1,0,0,0,0,0,0,0
Tia Carrere,2,Maksim Chmerkoskiy,Actor/Actress,39,0,5.0,7.666666666666667,0.8164965809277259,8.666666666666666,6.666666666666667,Eliminated Week 5,6,0.027859738758880506,0.02343453779321534,0.00188003025877278,0.07374200195540805,0.9771020647361129,False,0.027859738758880506,1,1,0,0,0,0,0,0,0
Master P,2,Ashly DelGrosso,Singer/Rapper,35,0,4.0,4.166666666666666,1.138550085106622,5.333333333333333,2.6666666666666665,Eliminated Week 4,7,0.021237341398386456,0.01819942611163569,0.0014232543527280584,0.0582276476809529,0.9821258727466222,False,0.021237341398386456,1,0,0,0,1,0,0,0,0
Giselle Fernandez,2,Jonathan Roberts,News Anchor,44,1,3.0,7.666666666666667,0.3333333333333335,8.0,7.333333333333333,Eliminated Week 3,8,0.020119354248048404,0.017728275295557868,0.0012042449169042675,0.054981120513100744,0.9825805416574386,False,0.020119354248048404,1,0,0,0,0,0,0,0,0
Tatum O'Neal,2,Nick Kosovich,Actor/Actress,42,0,2.0,6.666666666666667,1.4142135623730951,7.666666666666667,5.666666666666667,Eliminated Week 2,9,0.013450398601961549,0.011983507787638938,0.0007957162181663453,0.03719794203130692,0.9881583961641461,False,0.013450398601961549,1,1,0,0,0,0,0,0,0
Kenny Mayne,2,Andrea Hale,Sports Broadcaster,46,0,1.0,4.333333333333333,,4.333333333333333,4.333333333333333,Eliminated Week 1,10,0.011689652623817024,0.010062133760459134,0.0008146830604037347,0.03205849682351805,0.990038104167911,False,0.011689652623817024,1,0,0,0,0,0,0,0,0
Emmitt Smith,3,Cheryl Burke,Athlete,37,0,11.0,8.588886666666667,1.0852517487081397,9.888866666666669,6.333333333333333,1st Place,1,0.7472774958104178,0.1437167716561805,0.5262633894447042,0.972041342884874,0.8743423413752439,True,0.39498801110211734,2,0,1,0,0,0,0,0,0
Mario Lopez,3,Karina Smirnoff,Actor/Actress,32,0,11.0,8.955553333333334,1.014907159921172,9.888866666666669,7.0,2nd Place,2,0.25272250418958286,0.14371677165618044,0.027958657115126084,0.47373661055529587,0.8743423413752439,True,0.25272250418958286,1,1,0,0,0,0,0,0,0
Joey Lawrence,3,Edyta Sliwinska,Actor/Actress,30,0,11.0,8.62962962962963,1.023263358688548,9.833333333333334,7.0,3rd Place,3,,,,,,False,,0,1,0,0,0,0,0,0,0
Monique Coleman,3,Louis van Amstel,Actor/Actress,25,0,8.0,8.3125,0.9446486707295528,9.0,6.333333333333333,Eliminated Week 8,4,0.06597329159589228,0.04918728344703884,0.0044299549951520205,0.16203774933112772,0.953118681265906,False,0.06597329159589228,1,1,0,0,0,0,0,0,0
