season,案例数,一致数,一致率,确定性均值,确定性标准差,确定性最小,确定性最大,平均参赛人数,平均粉丝票不确定性
1,3,1,33%,0.962,0.011,0.953,0.975,5.0,0.04
2,7,2,28%,0.973,0.012,0.955,0.985,7.0,0.028
3,7,3,42%,0.978,0.014,0.953,0.99,7.714,0.022
4,8,3,37%,0.976,0.014,0.953,0.991,7.5,0.025
5,9,4,44%,0.98,0.013,0.953,0.991,8.0,0.021
6,7,4,57%,0.976,0.013,0.951,0.99,7.0,0.025
7,7,4,57%,0.975,0.013,0.951,0.99,7.143,0.025
8,8,3,37%,0.977,0.014,0.949,0.992,8.0,0.023
9,6,0,0%,0.981,0.016,0.955,0.994,9.5,0.02
10,8,5,62%,0.977,0.013,0.95,0.993,7.5,0.024
11,9,3,33%,0.979,0.012,0.953,0.99,8.0,0.022
12,8,3,37%,0.977,0.015,0.945,0.99,7.5,0.024
13,9,5,55%,0.978,0.015,0.946,0.992,8.0,0.022
14,7,3,42%,0.982,0.013,0.955,0.991,8.714,0.019
15,4,1,25%,0.99,0.003,0.987,0.993,10.5,0.01
16,8,6,75%,0.976,0.012,0.953,0.988,7.5,0.025
17,8,2,25%,0.983,0.008,0.966,0.991,8.5,0.017
18,7,2,28%,0.978,0.013,0.955,0.991,7.143,0.023
19,9,3,33%,0.983,0.01,0.964,0.993,9.0,0.017
20,7,0,0%,0.983,0.014,0.953,0.994,8.714,0.017
21,5,3,60%,0.983,0.003,0.979,0.987,8.0,0.018
22,5,3,60%,0.987,0.004,0.98,0.99,9.6,0.013
23,7,1,14%,0.983,0.009,0.969,0.993,8.571,0.017
24,7,3,42%,0.981,0.015,0.956,0.991,8.429,0.02
25,6,2,33%,0.977,0.015,0.953,0.992,7.5,0.023
27,5,0,0%,0.991,0.002,0.987,0.993,11.0,0.009
28,7,3,42%,0.981,0.01,0.965,0.991,8.143,0.019
29,8,3,37%,0.989,0.004,0.98,0.994,11.25,0.011
30,5,3,60%,0.991,0.003,0.987,0.995,11.8,0.009
31,7,1,14%,0.992,0.002,0.988,0.994,12.714,0.008
32,9,2,22%,0.987,0.006,0.972,0.992,10.0,0.013
33,4,2,50%,0.983,0.006,0.975,0.989,7.5,0.017
34,7,2,28%,0.986,0.006,0.977,0.992,9.0,0.015
