season,week,judge_lowest_idx,pct_elim_judge_lowest,rank_elim_judge_lowest,pct_favors_fan,rank_favors_fan
1,2,2,False,True,True,False
1,3,2,True,True,False,False
1,4,3,False,True,True,False
2,1,7,False,False,True,True
2,2,7,False,False,True,True
2,3,6,False,True,True,False
2,4,5,True,True,False,False
2,5,0,True,True,False,False
2,6,0,True,True,False,False
2,7,2,False,False,True,True
3,1,10,True,True,False,False
3,2,9,False,False,True,True
3,3,5,False,False,True,True
3,4,6,False,False,True,True
3,5,5,False,False,True,True
3,7,4,True,True,False,False
3,8,0,True,True,False,False
4,2,2,False,True,True,False
4,3,2,False,False,True,True
4,4,2,False,False,True,True
4,5,2,True,True,False,False
4,6,0,False,False,True,True
4,7,4,False,False,True,True
4,8,3,True,True,False,False
4,9,0,True,True,False,False
5,1,5,True,True,False,False
5,2,8,False,False,True,True
5,3,7,True,True,False,False
5,4,8,False,False,True,True
5,5,6,False,False,True,True
5,6,1,False,False,True,True
5,7,1,True,True,False,False
5,8,4,False,False,True,True
5,9,3,False,False,True,True
6,3,5,False,False,True,True
6,4,7,True,True,False,False
6,5,1,True,True,False,False
6,6,1,True,True,False,False
6,7,0,False,False,True,True
6,8,1,False,False,True,True
6,9,1,True,True,False,False
7,2,0,False,False,True,True
7,4,7,True,True,False,False
7,5,0,False,False,True,True
7,6,0,True,True,False,False
7,7,3,False,False,True,True
7,8,0,False,False,True,True
7,9,0,True,True,False,False
8,2,10,False,False,True,True
8,3,6,False,False,True,True
8,5,7,False,False,True,True
8,6,6,True,True,False,False
8,7,1,True,True,False,False
8,8,5,False,False,True,True
8,9,1,False,False,True,True
8,10,1,True,True,False,False
9,2,8,True,True,False,False
9,3,6,False,False,True,True
9,4,4,False,False,True,True
9,5,4,False,False,True,True
9,8,1,True,True,False,False
9,9,2,False,False,True,True
10,2,3,False,False,True,True
10,3,2,True,True,False,False
10,4,7,False,False,True,True
10,5,6,True,True,False,False
10,6,6,True,True,False,False
10,7,0,False,True,True,False
10,8,0,True,True,False,False
10,9,0,True,True,False,False
11,1,0,True,True,False,False
11,2,6,True,True,False,False
11,3,5,True,True,False,False
11,4,6,True,True,False,False
11,5,7,False,False,True,True
11,6,3,False,False,True,True
11,7,5,False,False,True,True
11,8,4,False,False,True,True
11,9,3,False,False,True,True
12,2,4,False,False,True,True
12,3,8,True,True,False,False
12,4,8,False,False,True,True
12,5,0,False,False,True,True
12,6,4,True,True,False,False
12,7,2,False,False,True,True
12,8,0,False,False,True,True
12,9,0,True,True,False,False
13,1,4,True,True,False,False
13,2,8,False,False,True,True
13,3,7,False,False,True,True
13,4,5,False,False,True,True
13,5,4,True,True,False,False
13,6,4,True,True,False,False
13,7,4,False,False,True,True
13,8,3,True,True,False,False
13,9,2,True,True,False,False
14,2,6,True,True,False,False
14,3,1,True,True,False,False
14,4,7,False,False,True,True
14,5,5,True,True,False,False
14,6,5,True,True,False,False
14,7,3,False,False,True,True
14,9,2,False,False,True,True
15,1,7,True,True,False,False
15,2,10,False,False,True,True
15,4,2,False,False,True,True
15,6,5,False,False,True,True
16,3,7,True,True,False,False
16,4,2,False,False,True,True
16,5,5,True,True,False,False
16,6,2,True,True,False,False
16,7,4,True,True,False,False
16,8,5,True,True,False,False
16,9,0,True,True,False,False
16,10,2,False,False,True,True
17,2,11,False,False,True,True
17,3,0,False,False,True,True
17,4,0,True,True,False,False
17,5,2,False,True,True,False
17,7,5,False,False,True,True
17,8,5,False,False,True,True
17,9,4,False,False,True,True
17,10,3,False,False,True,True
18,2,0,False,False,True,True
18,5,6,False,False,True,True
18,6,2,False,False,True,True
18,7,6,True,True,False,False
18,8,1,False,False,True,True
18,9,1,False,False,True,True
18,10,1,False,False,True,True
19,1,8,False,False,True,True
19,2,8,False,False,True,True
19,3,5,True,True,False,False
19,4,1,False,False,True,True
19,6,0,False,False,True,True
19,7,5,False,False,True,True
19,8,4,True,True,False,False
19,9,3,False,False,True,True
19,10,2,True,True,False,False
20,2,11,False,False,True,True
20,3,7,True,True,False,False
20,4,9,False,False,True,True
20,5,5,False,False,True,True
20,6,4,False,False,True,True
20,7,4,False,False,True,True
20,9,3,False,False,True,True
21,4,0,True,True,False,False
21,6,8,True,True,False,False
21,7,2,False,True,True,False
21,8,3,True,True,False,False
21,9,3,False,False,True,True
22,2,7,True,True,False,False
22,3,0,True,True,False,False
22,4,2,False,False,True,True
22,6,2,True,True,False,False
22,8,5,False,False,True,True
23,2,7,False,False,True,True
23,3,6,True,True,False,False
23,6,5,True,True,False,False
23,7,1,False,False,True,True
23,8,0,False,False,True,True
23,9,0,True,True,False,False
23,10,0,False,True,True,False
24,2,1,False,False,True,True
24,3,0,True,True,False,False
24,4,0,True,True,False,False
24,5,4,False,False,True,True
24,6,7,False,False,True,True
24,8,0,True,True,False,False
24,9,1,False,False,True,True
25,4,8,False,False,True,True
25,5,7,False,False,True,True
25,6,6,True,True,False,False
25,8,5,False,False,True,True
25,9,4,False,False,True,True
25,10,3,True,True,False,False
27,1,12,False,False,True,True
27,2,11,False,False,True,True
27,3,10,False,False,True,True
27,4,9,False,True,True,False
27,6,2,False,False,True,True
28,2,4,False,True,True,False
