特征,特征代码,评委得分_SHAP,粉丝投票_SHAP,最终排名_SHAP,评委得分_归一化,粉丝投票_归一化,最终排名_归一化,偏好差异
年龄,celebrity_age,0.5071002183859693,0.044555386382021035,1.402195259391119,0.347707673650071,0.35412471526281436,0.37438534706529897,-0.006417041612743368
舞伴实力,PartnerPower,0.36527748391170245,0.038716423405437975,1.0205281780142121,0.2504628859595921,0.3077168335359272,0.2724804506054857,-0.05725394757633512
赛季,season,0.2097042752741284,0.01962752448931199,0.666784189440763,0.14378969494850993,0.15599890575511255,0.17803100424817708,-0.012209210806602616
演员,is_Actor_Actress,0.12375681167435257,0.006278684362292829,0.21966413796796916,0.08485737439159755,0.04990277253928682,0.05865020151804595,0.034954601852310724
电视名人,is_TV_Personality,0.0866996185011558,0.0025820436737075624,0.08699695167299848,0.059448056937022285,0.020521996440744726,0.023228137256619843,0.03892606049627756
运动员,is_Athlete,0.056129965530498274,0.005592183697555001,0.15065216514984991,0.03848710576143626,0.04444648830142609,0.04022404351891544,-0.00595938253998983
喜剧演员,is_Comedian,0.03874511281807636,0.0,0.027520787652818478,0.026566687520195368,0.0,0.007348034853138013,0.026566687520195368
歌手/说唱,is_Singer_Rapper,0.02836124704987591,0.0033633137905691233,0.06901499575861565,0.019446694905624087,0.026731505102722944,0.018426965122545973,-0.007284810197098857
国际选手,is_international,0.0193294876001491,0.004399703192856678,0.03903224737044305,0.013253812407511471,0.03496869328104328,0.01042158813521266,-0.02171488087353181
模特,is_Model,0.016919625389050383,0.0005508335670191249,0.06293731464253122,0.011601421907847796,0.00437800669946743,0.016804227676560358,0.0072234152083803654
网红,is_Social_Media_Personality,0.006385780154477876,0.0001522506533003156,0.0,0.004378591610592231,0.0012100830814544966,0.0,0.003168508529137734
电台主持,is_Radio_Personality,0.0,0.0,0.0,0.0,0.0,0.0,0.0
