season,week,n_participants,eliminated_name,judge_score,judge_rank,fan_vote,fan_rank,rule_type,elim_gns,elim_arith,gns_validates_elim,arith_validates_elim,models_agree
1,6,2,Kelly Monaco,9.166666666666666,1,0.7501717327216313,1,rank,0.6117578587015358,0.6420761576229516,False,False,True
2,8,3,Drew Lachey,9.6666,1,0.6127290384438179,1,rank,0.45756271528101033,0.4946753979514641,False,False,True
3,10,2,Emmitt Smith,9.888866666666669,1,0.7434452491178802,1,percentage,0.622354469322172,0.6481198623194839,False,False,True
4,10,3,Apolo Anton Ohno,9.777733333333334,1,0.6032930626127538,1,percentage,0.45667518113732275,0.49130116864195855,False,False,True
5,10,3,Helio Castroneves,9.3333,2,0.6212104885321835,1,percentage,0.45404781238148867,0.4948153550688691,False,False,True
6,2,12,Monica Seles,5.0,1,0.0154030605727089,1,percentage,0.03260881694439193,0.034583250716461976,True,True,True
6,10,3,Kristi Yamaguchi,10.0,1,0.6139487323500895,1,percentage,0.4637338883041192,0.4992820584827371,False,False,True
7,1,13,Ted McGinley,6.166666666666667,4,0.0080547794030639,1,percentage,0.026969084875679384,0.034206835052266044,True,True,True
7,10,3,Brooke Burke,10.0,1,0.6048434614658066,1,percentage,0.4609705571677155,0.49472942304059564,False,False,True
8,4,11,Steve Wozniak,4.0,1,0.0214393186250185,1,percentage,0.03460611244822709,0.034529183122033055,True,True,True
8,11,3,Gilles Marini,9.666666666666666,2,0.1121717307740077,1,percentage,0.23200520697025803,0.24439755369869218,True,True,True
9,1,16,Ashley Hamiliton,6.3333,1,0.0091554627031757,1,percentage,0.02539448741087049,0.029643569099830003,True,True,True
9,6,9,Melissa Joan Hart,7.999966666666666,2,0.0195582204399406,1,percentage,0.055460689424129246,0.06533446001411372,True,True,True
9,7,7,Mark Dacascos,7.166666666666667,1,0.0279005451822159,1,percentage,0.07021491151834872,0.07890495537056415,True,True,True
9,10,3,Donny Osmond,9.6666,1,0.609385508805344,1,percentage,0.45656234730324213,0.49300363313222717,False,False,True
10,10,3,Nicole Scherzinger,9.592566666666666,1,0.603637946946161,1,percentage,0.45352705835551743,0.489228208185764,False,False,True
11,10,3,Jennifer Grey,10.0,1,0.6047251520804379,1,percentage,0.46093448810363924,0.4946702683479113,False,False,True
12,10,3,Hines Ward,9.888866666666669,1,0.6006644919806997,1,percentage,0.45779692720733045,0.49131910520653804,False,False,True
13,10,3,J.R. Martinez,9.388833333333332,2,0.6132433650923279,1,percentage,0.4527249967471176,0.4915225247799544,False,False,True
14,8,6,Roshon Fegan,9.333333333333334,5,0.0271046275015052,1,percentage,0.08696713573916974,0.1081469083453472,True,True,True
14,10,3,Donald Driver,9.888866666666669,2,0.615769324373979,1,percentage,0.4623675103415862,0.4988715214031777,False,False,True
15,3,11,Helio Castroneves,8.5,8,0.0089305116106731,1,percentage,0.0371394894081603,0.05248785467539305,True,True,True
15,8,7,Gilles Marini,9.759233333333333,5,0.0185622804392798,1,percentage,0.06984399955293429,0.09376315954468864,True,True,True
15,9,5,Apolo Anton Ohno,9.537,3,0.0399436183127014,1,percentage,0.11406829625966192,0.13477307068221922,True,True,True
15,10,3,Melissa Rycroft,9.7777,1,0.6061252294051515,1,percentage,0.45753094246839676,0.49271685072828786,False,False,True
16,10,4,Alexandra Raisman,9.666666666666666,2,0.0619329629253523,1,percentage,0.1554585875358084,0.1745308378983197,True,True,True
17,11,4,Corbin Bleu,9.8888,3,0.0607301204240849,1,percentage,0.15574499477793285,0.17626577077128322,True,True,True
18,10,4,James Maslow,9.666666666666666,2,0.0628138248761267,1,percentage,0.15633926656680303,0.1749712688737069,True,True,True
19,11,4,Janel Parrish,9.749950000000002,2,0.0608879510363092,1,percentage,0.15497087912952517,0.17488789321284753,True,True,True
20,8,6,Robert Herjavec,7.75,1,0.0354880902066922,1,percentage,0.08835477948522591,0.09889587756407908,True,True,True
20,10,3,Rumer Willis,10.0,1,0.6167674743478184,1,percentage,0.4645843503149484,0.5006914294816015,False,False,True
21,2,13,Victor Espinoza,6.166666666666667,3,0.0090893118486318,1,percentage,0.028304608441714063,0.03472410127504999,True,True,True
21,11,4,Carlos PenaVega,10.0,2,0.0618373616515451,1,percentage,0.1576206196361448,0.17797750435518433,True,True,True
22,7,8,Kim Fields,8.666666666666666,2,0.0163444555279564,1,percentage,0.057763187951115826,0.0751825370423287,True,True,True
22,9,5,Antonio Brown,9.166666666666666,1,0.0426423613027688,1,percentage,0.11495713720617114,0.13265721304004835,True,True,True
22,10,3,Nyle DiMarco,9.6666,2,0.612717921379149,1,percentage,0.4575593945426974,0.4946698394191297,False,False,True
23,4,11,Babyface,6.0,1,0.0161293962812692,1,percentage,0.03883639632008297,0.04294841907086716,True,True,True
23,11,4,Calvin Johnson Jr.,9.583275,2,0.0599863100679154,1,percentage,0.15291687077989438,0.17267243512203725,True,True,True
24,7,7,Nancy Kerrigan,9.0,4,0.0234409330720332,1,percentage,0.0736224982220159,0.09066783495706923,True,True,True
24,10,3,Rashad Jennings,9.91665,1,0.5976000454188894,1,percentage,0.4573365610695054,0.49011815217447974,False,False,True
25,2,13,Barbara Corcoran,5.666666666666667,1,0.0109536005371282,1,percentage,0.029074496914103284,0.03334565272758049,True,True,True
25,7,8,Nikki Bella,8.0,1,0.0197011043465965,1,percentage,0.05969558826932195,0.07235055217329825,True,True,True
25,10,4,Drew Scott,9.375,1,0.0670080341600536,1,percentage,0.1583363947569035,0.17395345528227402,True,True,True
26,1,10,Jamie Anderson,6.333333333333333,3,0.0142984741135357,1,percentage,0.04043219513528666,0.04757476897166147,True,True,True
26,2,8,Kareem Abdul-Jabbar,7.375,1,0.0196071820561858,1,percentage,0.05707849374667566,0.06798899536734339,True,True,True
26,3,6,Jennie Finch Daigle,7.25,1,0.0373165056572701,1,percentage,0.08716097987084385,0.09537782954821176,True,True,True
26,4,3,Adam Rippon,9.666666666666666,1,0.6116392625703869,1,percentage,0.45723819962252793,0.4941313195968818,False,False,True
27,7,8,John Schneider,9.0,4,0.0165518351510391,1,percentage,0.05920194193023793,0.07750668680628878,True,True,True
27,8,6,Juan Pablo Di Pace,10.0,6,0.0234672975559355,1,percentage,0.08487958146379973,0.11173364877796775,True,True,True
27,9,4,Bobby Bones,9.0,4,0.5395102471507528,1,percentage,0.35829192541499666,0.40611875993901275,False,False,True
